,Unnamed: 0,avg_total_reward,avg_snake_size,avg_food_eaten,avg_moves,max_snake_size,max_food_eaten,max_moves,max_total_reward,model,combo
115,115,-11.4106,0.631,0.0605,9.1675,3,2,21,54.0,7,3
116,116,-11.33235,0.631,0.058,9.4005,3,2,23,54.3,8,3
117,117,-10.949900000000001,0.6405,0.044,9.6525,2,2,19,27.0,9,3
118,118,-10.97115,0.645,0.0375,9.601,3,2,17,51.900000000000006,10,3
119,119,-10.861150000000002,0.6405,0.053,9.7285,2,1,17,27.0,11,3
120,120,-11.70525,0.628,0.055,9.21,4,3,23,81.3,12,3
121,121,-11.20555,0.636,0.0585,9.437,3,2,22,54.0,13,3
122,122,-11.453,0.632,0.0595,9.2045,3,2,24,54.0,14,3
123,123,-10.75345,0.6455,0.053,9.84,3,2,19,53.400000000000006,15,3
124,124,-13.23675,0.5715,0.045,7.3965,3,2,22,51.90000000000002,16,3
125,125,-10.954450000000001,0.6415,0.0505,9.7675,3,2,17,54.3,17,3
126,126,-13.5164,0.559,0.0345,6.4105,2,1,16,27.0,18,3
127,127,-10.900549999999999,0.6445,0.059,9.357,3,2,24,54.3,19,3
128,128,-13.6386,0.5555,0.0235,5.873,2,1,14,27.0,20,3
129,129,-11.10175,0.6415,0.059,9.3615,3,2,20,54.0,21,3
130,130,-11.4833,0.631,0.052,9.074,3,2,23,54.0,22,3
131,131,-11.026399999999999,0.646,0.0355,9.625,3,2,16,54.3,23,3
132,132,-10.806650000000001,0.6525,0.0365,9.779,2,1,20,27.0,24,3
133,133,-11.723049999999999,0.6215,0.0585,9.131,3,2,23,54.3,25,3
134,134,-11.2034,0.6465,0.0535,9.511,3,2,20,53.7,26,3
135,135,-12.7288,0.5895,0.055,7.9805,4,3,21,80.1,27,3
136,136,-11.7205,0.615,0.059,9.2815,4,3,25,81.0,28,3
137,137,-13.4164,0.5665,0.0435,6.6875,3,2,19,54.3,29,3
138,138,-11.30505,0.6325,0.0595,9.3895,3,2,28,54.0,30,3
139,139,-13.18595,0.575,0.0495,7.192,3,2,22,54.0,31,3
140,140,-11.2316,0.6365,0.0675,9.2065,3,2,28,54.0,32,3
141,141,-13.41,0.5665,0.034,6.513,3,2,17,54.3,33,3
142,142,-13.683950000000001,0.558,0.035,6.667,3,2,16,54.0,34,3
143,143,-13.64035,0.558,0.0305,5.955,3,2,15,54.0,35,3
144,144,-11.61675,0.638,0.016,10.427,2,1,23,27.0,0,4
145,145,-12.65505,0.6005,0.027,9.568,3,2,22,54.3,1,4
146,146,-8.7767,0.737,0.016,11.2015,2,1,21,27.0,2,4
147,147,-9.2742,0.715,0.025,11.1185,2,1,21,27.0,3,4
148,148,-13.2523,0.584,0.025,9.3295,3,2,23,54.3,4,4
149,149,-8.4649,0.7455,0.015,11.3995,2,1,17,27.0,5,4
150,150,-8.9635,0.725,0.02,11.2975,2,1,18,27.0,6,4
151,151,-9.1165,0.721,0.0235,11.312,2,1,22,27.0,7,4
152,152,-8.4591,0.743,0.02,11.522,2,1,19,27.0,8,4
153,153,-8.321050000000001,0.749,0.015,11.5005,2,1,16,27.0,9,4
154,154,-8.096950000000001,0.7545,0.0145,11.555,2,1,17,27.0,10,4
155,155,-8.431299999999998,0.7485,0.012,11.62,2,1,17,27.0,11,4
156,156,-9.283299999999999,0.7195,0.02,11.166,3,2,26,52.5,12,4
157,157,-8.796550000000002,0.734,0.0205,11.3305,2,1,23,27.0,13,4
158,158,-9.2809,0.7205,0.0185,11.2435,2,1,22,27.0,14,4
159,159,-7.9385,0.7595,0.015,11.5955,2,1,17,27.0,15,4
160,160,-11.9619,0.626,0.027,9.995,2,1,26,27.0,16,4
161,161,-8.218150000000001,0.752,0.018,11.5645,2,1,19,27.0,17,4
162,162,-12.922450000000001,0.5935,0.026,9.7125,2,1,21,27.0,18,4
163,163,-9.365150000000002,0.709,0.02,11.0395,2,1,20,27.0,19,4
164,164,-13.525049999999998,0.571,0.02,9.099,2,1,22,27.0,20,4
165,165,-8.69055,0.7315,0.019,11.2935,2,1,22,27.0,21,4
166,166,-9.084200000000001,0.7205,0.022,11.1855,2,1,18,27.0,22,4
167,167,-8.1648,0.7555,0.0165,11.5585,2,1,18,27.0,23,4
168,168,-7.84855,0.7695,0.0115,11.655,2,1,17,27.0,24,4
169,169,-9.035800000000002,0.729,0.017,11.3765,2,1,22,27.0,25,4
170,170,-8.82075,0.732,0.0205,11.316,2,1,24,27.0,26,4
171,171,-11.4673,0.6425,0.0215,10.4705,2,1,23,27.0,27,4
172,172,-9.0664,0.7245,0.0235,11.338,2,1,21,27.0,28,4
173,173,-12.597650000000002,0.6035,0.025,9.694,2,1,23,27.0,29,4
174,174,-8.831650000000002,0.7295,0.022,11.353,2,1,23,27.0,30,4
175,175,-12.377400000000002,0.615,0.023,10.009,3,2,27,52.2,31,4
176,176,-9.277149999999999,0.719,0.028,11.2785,2,1,25,27.0,32,4
177,177,-12.50445,0.6075,0.022,9.7725,3,2,25,53.400000000000006,33,4
178,178,-12.51415,0.6075,0.0225,9.6195,2,1,24,27.0,34,4
179,179,-13.2806,0.5825,0.0215,9.3535,3,2,22,53.099999999999994,35,4
180,180,-11.8376,0.609,0.0455,3.481,3,2,16,54.3,0,5
181,181,-12.297,0.5955,0.0245,2.8745,2,1,11,27.0,1,5
182,182,-11.6743,0.611,0.085,4.743,3,2,17,54.3,2,5
183,183,-11.3168,0.634,0.088,4.8255,4,3,19,80.1,3,5
184,184,-12.059700000000001,0.6015,0.024,2.6225,2,1,8,27.0,4,5
185,185,-11.985800000000001,0.604,0.0725,4.9115,2,1,17,27.0,5,5
186,186,-11.954450000000001,0.608,0.0735,4.797,3,2,16,54.3,6,5
187,187,-11.4793,0.6195,0.0945,4.8235,3,2,22,54.3,7,5
188,188,-11.9167,0.604,0.072,4.9105,3,2,18,54.3,8,5
189,189,-11.90985,0.6035,0.0725,4.893,3,2,15,54.3,9,5
190,190,-12.056899999999999,0.598,0.075,5.2175,3,2,16,54.0,10,5
191,191,-11.896,0.6055,0.078,5.1655,3,2,15,54.0,11,5
192,192,-11.350050000000001,0.629,0.093,4.847,4,3,22,80.7,12,5
193,193,-11.539800000000001,0.617,0.0925,4.8255,4,3,21,81.6,13,5
194,194,-11.780850000000001,0.6105,0.0785,4.783,4,3,23,81.6,14,5
195,195,-11.9773,0.603,0.0665,5.092,3,2,16,53.7,15,5
196,196,-12.44425,0.5885,0.04,3.2605,3,2,14,54.3,16,5
197,197,-12.02635,0.5965,0.072,5.238,3,2,15,53.400000000000006,17,5
198,198,-11.9707,0.606,0.022,2.779,2,1,11,27.0,18,5
199,199,-11.572550000000001,0.62,0.081,4.6685,3,2,19,54.3,19,5
200,200,-12.11875,0.5975,0.0235,2.613,3,2,10,54.3,20,5
201,201,-11.478900000000001,0.6215,0.0835,4.8965,5,4,20,108.3,21,5
202,202,-11.150349999999998,0.6325,0.0985,4.982,3,2,19,54.3,22,5
203,203,-12.001050000000001,0.601,0.072,5.2015,3,2,15,53.400000000000006,23,5
204,204,-11.85255,0.6085,0.0745,5.1485,4,3,16,80.4,24,5
205,205,-11.66975,0.6185,0.082,4.675,3,2,17,54.3,25,5
206,206,-11.66075,0.616,0.0785,4.871,3,2,19,54.3,26,5
207,207,-12.11655,0.5985,0.0525,3.5975,3,2,18,53.7,27,5
208,208,-11.4641,0.621,0.085,4.566,4,3,22,80.7,28,5
209,209,-12.5235,0.5845,0.027,2.8425,2,1,11,27.0,29,5
210,210,-11.202800000000002,0.6345,0.1045,4.778,4,3,21,81.6,30,5
211,211,-12.2878,0.5975,0.0445,3.275,3,2,14,54.3,31,5
212,212,-11.3103,0.6285,0.0905,4.671,3,2,25,54.3,32,5
213,213,-12.79745,0.5755,0.021,2.8575,2,1,12,27.0,33,5
214,214,-12.35655,0.5915,0.0265,2.8815,2,1,13,27.0,34,5
215,215,-12.688600000000001,0.58,0.0175,2.6835,2,1,8,27.0,35,5
216,216,-12.604700000000001,0.584,0.0385,3.5165,3,2,14,54.0,0,6
217,217,-12.372549999999999,0.589,0.025,2.8945,2,1,11,27.0,1,6
218,218,-11.41705,0.6255,0.088,4.8685,3,2,17,54.3,2,6
219,219,-11.559,0.62,0.089,4.5855,4,3,19,81.0,3,6
220,220,-12.1577,0.599,0.024,2.6025,3,2,8,54.3,4,6
221,221,-11.6785,0.6115,0.0775,4.9535,3,2,19,53.7,5,6
222,222,-11.740549999999999,0.6095,0.0755,4.6995,3,2,16,54.3,6,6
223,223,-11.225850000000001,0.6335,0.1,4.696,5,4,19,108.6,7,6
224,224,-11.8887,0.6065,0.081,4.949,4,3,17,81.0,8,6
225,225,-12.149049999999999,0.594,0.0665,5.148,3,2,16,54.3,9,6
226,226,-11.836050000000002,0.6085,0.078,5.126,3,2,15,54.3,10,6
227,227,-12.095,0.595,0.0735,4.9745,2,1,16,27.0,11,6
228,228,-11.359900000000001,0.632,0.0805,4.6735,4,3,22,81.3,12,6
229,229,-11.376700000000001,0.6265,0.0885,4.6905,3,2,18,54.3,13,6
230,230,-11.323900000000002,0.632,0.0965,4.6935,4,3,21,81.6,14,6
231,231,-12.290100000000002,0.5885,0.072,5.0485,3,2,18,53.400000000000006,15,6
232,232,-12.1797,0.597,0.039,3.1575,3,2,15,54.3,16,6
233,233,-12.439050000000002,0.5895,0.057,5.092,3,2,15,54.0,17,6
234,234,-12.43755,0.5885,0.0205,2.81,2,1,12,27.0,18,6
235,235,-11.412450000000002,0.6245,0.087,4.7195,3,2,22,54.3,19,6
236,236,-12.2361,0.593,0.02,2.52,2,1,8,27.0,20,6
237,237,-11.6,0.6175,0.0885,4.974,3,2,20,54.3,21,6
238,238,-11.70215,0.615,0.0905,4.8955,3,2,21,54.3,22,6
239,239,-11.999450000000001,0.6005,0.0725,5.0885,2,1,16,27.0,23,6
240,240,-11.9756,0.6005,0.075,4.8945,2,1,16,27.0,24,6
241,241,-11.617450000000002,0.6205,0.076,4.6685,3,2,16,54.3,25,6
